fold,train_accuracy,valid_accuracy,n_train,n_valid,n_models,train_accuracy_group_1,train_accuracy_group_2,train_accuracy_group_3,train_accuracy_group_4,valid_accuracy_group_1,valid_accuracy_group_2,valid_accuracy_group_3,valid_accuracy_group_4
1,0.514,0.5145,4000,4000,4,0.515,0.514,0.518,0.509,0.515,0.515,0.518,0.51
2,0.5145,0.514,4000,4000,4,0.515,0.515,0.518,0.51,0.515,0.514,0.518,0.509
